Entity,Layer,Color,Linetyp,Elevatn,LineWt,RefName,Symblgy,Red,Green,Blue,Shp_STA,Shp_STL,gnrl_p_,id,edt_g__,zoning
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,53138.9003906,1404.71273562,SP_NonRes,352,SP_NonRes,0
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,452413.353516,2798.18679131,SP_SF,353,SP_SF,1
LWPolyline,__ Layer Off No Zone,11,Continuous,0,25,NA,No Zoning Info,0,0,0,1355605.23242,5145.77421658,SP_NonRes,354,SP_NonRes,0
LWPolyline,ZM-MUCC,7,Continuous,0,25,NA,MUCC,78,104,0,516092.798828,3181.10430291,MUCC,355,MUCC,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,49958.5517578,876.400406335,P,356,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,175793.487305,1663.53623339,P,357,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,119268.915039,2052.12227122,P,358,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,178070.949219,1671.93850191,P,359,P,0
LWPolyline,ZM-P,7,Continuous,0,25,NA,P,126,189,126,180098.632813,1663.97934514,P,360,P,0
LWPolyline,ZM-PD,7,Continuous,0,25,NA,PD,189,189,126,1542368.86328,6648.22227314,PD_SF,361,PD_SF,1
